Bacillus halodurans C-125 	BA000004
Bacillus cereus E33L 	CP009968
Bacillus thuringiensis strain HD1011 	CP009335
Bacillus cereus biovar anthracis str. CI 	CP001746
Bacillus thuringiensis strain L-7601 	CP020002
Bacillus thuringiensis strain KNU-07 	CP016588
Bacillus thuringiensis serovar tolworthi 	AP014864
Bacillus thuringiensis Bt18247 	CP015250
Bacillus thuringiensis strain HD12 	CP014847
Bacillus thuringiensis serovar indiana strain HD521 	CP010106
Bacillus thuringiensis HD-771 	CP003752
Bacillus thuringiensis BMB171 	CP001903
Virgibacillus sp. 6R 	CP017762
Bacillus thuringiensis MC28 	CP003687
Bacillus anthracis strain BA1035 	CP009700
Bacillus weihenstephanensis KBAB4 	CP000903
Bacillus cereus strain FM1 	CP009369
Bacillus cereus strain 03BB87 	CP009941
Bacillus cereus FRI-35 	CP003747
Bacillus thuringiensis strain CTC 	CP013274
Oceanobacillus iheyensis HTE831 	BA000028
Bacillus cytotoxicus NVH 391-98 	CP000764
Lentibacillus amyloliquefaciens strain LAM0015 	CP013862
Virgibacillus halodenitrificans strain PDB-F2 	CP017962
Virgibacillus sp. SK37 	CP007161
Geobacillus thermoleovorans strain FJAT-2391 	CP017071
Geobacillus stearothermophilus 10 	CP008934
Geobacillus sp. GHH01 	CP004008
Geobacillus thermoleovorans CCB_US3_UF5 	CP003125
Geobacillus sp. Y412MC52 	CP002442
Geobacillus sp. C56-T3 	CP002050
Geobacillus sp. Y412MC61 	CP001794
Geobacillus kaustophilus HTA426 	BA000043
Geobacillus sp. Y4.1MC1 	CP002293
Parageobacillus thermoglucosidasius strain TM242 	CP016916
Parageobacillus thermoglucosidasius strain NCIMB 11955 	CP016622
Salimicrobium jeotgali strain MJ3 	CP011361
Bacillus clausii strain ENTPro 	CP012475
Bacillus clausii KSM-K16 	AP006627
Geobacillus thermodenitrificans strain KCTC3902 	CP017694
Aneurinibacillus sp. XH2 	CP014140
Bacillus gobiensis strain FJAT-4402 	CP012600
Geobacillus thermoleovorans strain KCTC 3570 	CP014335
Geobacillus sp. WCH70 	CP001638
Anoxybacillus amylolyticus strain DSM 15939 	CP015438
Geobacillus subterraneus strain KCTC 3922 	CP014342
Geobacillus genomosp. 3 strain JF8 	CP006254
Bacillus coagulans strain BC-HY1 	CP017888
Bacillus coagulans strain S-lac 	CP011939
Bacillus coagulans strain HM-08 	CP010525
Bacillus coagulans 36D1 	CP003056
Bacillus coagulans 2-6 	CP002472
